text|is_offensive|target
babaannenin amında piyango çekilişi yaparım|1|SEXIST
yanmış çorap gibi kokuyorsun|0|OTHER
bunu anlamak çok güç|1|INSULT
Erkek için 3 önemli şey: at avrat ve silah|1|SEXIST
Kadınlar gereksiz varlıklardır|0|OTHER
dışarda kızarmış incecik bir parçası kalmış|1|SEXIST
ulan zındık|1|PROFANITY
kız dediğin erkeklerle sürekli takılmaz|1|INSULT
onlar hatalıysa ne olur|1|INSULT
kızı olan çok çabuk yaşlanır|1|SEXIST
acemi yarraktan am bile korkar|1|PROFANITY
geberik bakışlı|1|RACIST
bu çirkinlikle sen nereye gidiyorsun?|1|PROFANITY
Karı gibi kıvırma|0|OTHER
sikik Anadolu melezi|1|PROFANITY
Araptan dost mu olur|0|OTHER
saçına sıçtığım|1|PROFANITY
camide sadece imamet yapacak kimseler çok derin fıkıh ve tefsir alımı olmayabilir|1|PROFANITY
Sadece herşeyi yoluna koyucam diyip amına koyan kardeşlerime günaydın|1|RACIST
onun fikirlerini hiç anlayamıyorum|1|INSULT
götüne kalem sokarım|1|INSULT
dünyanın en yüksek tahtına da çıksan yine aynı götsün|1|RACIST
suriyeliler boş mezar bulsa içine girecekler|1|INSULT
Enayisin sen çabuk kandırırlar seni|1|SEXIST
Aciz zavallı insansın|1|RACIST
çince nasıl bir dil öyle küfrediyor gibi|1|SEXIST
Seni seven çıkmaz|1|RACIST
kadın taksici mi varmış|1|RACIST
İngilterenin soğuk olması yetmiyor, bir de insanları kalleş.|1|PROFANITY
kadında göz erkekte söz olur|1|INSULT
Deniz görmüş- kürde laz denir|0|OTHER
Mültecilerin toplumda yer almasını istemiyoruz|1|RACIST
seni yavşağın dölü|1|RACIST
o arkadaşın eşeğin teki çıktı|1|PROFANITY
ingilizce bilen selçuk evli üç çocuk sahibi|1|SEXIST
Kürtlerin hiç biri oy kullanmamalıdır|0|OTHER
şu hayatta iki şeyden nefret ederim birincisi ırkçılık ikincisi zenciler|1|INSULT
orospu fırlatması|1|PROFANITY
kadın hesap mı öder|1|RACIST
bunların ücretini günün rayicine göre icra heyeti tayin eder|1|PROFANITY
herkese ayri ayri konusmaktan bikmadi mi o iki yuzlu arkadasin?|1|PROFANITY
senin o önyargını ağzından sikerim götünden yutkunursun|1|INSULT
Farklı dinlerden ve milletlerden insanlar birbirleriyle evlenmemelidir|1|PROFANITY
senin mehtabını sikerim|1|INSULT
Şu hayatın rezilliğni sikeyim|1|SEXIST
senin ağzında dolu bir cümle çıkmasını beklemiyorum beynin bu kadar boşken|1|INSULT
aklını sikinde gezdiriyorsun|1|PROFANITY
Salağa bak ya.|0|OTHER
Adamın dibisin kardreşim adamlık ancak bizimdir|1|PROFANITY
Düdük dediklerimizi anlıyor musun|1|INSULT
seni. bi sikerim dört= ay bulanık sıçarsın|1|INSULT
kalın damarlı yapraklar daha zor kururlar|1|PROFANITY
Bu aralar herkesin üstünde bi dalyaraklık mı var bana mı öyle geliyor|1|RACIST
beynin yok mu|1|SEXIST
Kalbinin çirkinliği yüzüne vurmuş be adam|0|OTHER
bu> adam nazik amdan sırma< sikten peydah olmuş>|0|OTHER
gavurun çocuğu|1|RACIST
Kadın kocasına kadınlık yapacak|1|INSULT
dışarıya geri döndü|1|PROFANITY
bir telefon kulübesi var|1|PROFANITY
ülkenin huzuru kalmadı bu mülteciler gitmeli|1|SEXIST
damladı bir salak daha buraya|1|PROFANITY
karısını alıpta son kullanma tarihine kadar siktiğimin evladı|1|SEXIST
babam siksin ananı|0|OTHER
Her kadın evinin hem hanımı hem halayığıdır|0|OTHER
Ya göründüğünüz gibi olun ya da siktirin gidin|0|OTHER
Kız evde olsa da elden sayılır|0|OTHER
öncelikle kayıt olmanız gerekecektir|1|SEXIST
biz din dil mezhep meşrep ayrımı yapmadan tüm mazlumların yanında olursak allah da bizi zalimlerle imtihan etmez|1|INSULT
şu ana kadar satışını gerçekleştirdiğimiz tüm gayrimenkuller alıcıların yüzünü güldürdü|0|OTHER
tüm ekiplerimiz hepsi burada|1|INSULT
Bir kadının en güzel kariyeri anneliktir|1|SEXIST
rüzgâr da uçacaksın|1|RACIST
aynı zamanda oyuncuların giyinmelerine yardımcı olur|0|OTHER
Döl israfı yıkıl karşımdan|1|INSULT
Kadın dili yüzünden dul kalır|1|INSULT
çingene mahallesine taşınmışlar, hepten çingene moduna girmiş|0|OTHER
genetik henüz genlerden yeni bir hayvan yaratamıyor|1|PROFANITY
Kafa yokki içinde biraz beyin olsun|1|PROFANITY
süt çocuğu musun sen ağlıyorsun|1|RACIST
ödevin raporun sonuna eklenir|1|PROFANITY
Şu saatten sonra kimsenin afrasını tafrasını çekememişine gelmiyorsa siktir git|0|OTHER
bakkalina girerim rize turist çaylarını sikimle parçalarım|1|RACIST
öyle bir inatçı ki sanırsın Çerkez inadı var|1|SEXIST
Senin feriştahın sikilmiş hala burada bekliyorsun lavuk|1|SEXIST
restoranda birkaç müşteri var|0|OTHER
Rusya kan ve ölüler üzerine kuruludur|0|OTHER
erkek adam bileklik takmaz|1|RACIST
kadınların alışveriş çılgınlığına kim dur diyebilir|0|OTHER
burada bize güç veren tüm dostlarımıza dayanışmaları için teşekkür ediyorum|1|INSULT
burjuva uygarlığının modeli ve idealidir|0|OTHER
onu eve alma çünkü o bir Türk|0|OTHER
yayımlanmamış yüksel lisans tezi|0|OTHER
kullan at insanin tekisin|0|OTHER
kuzey de bu organizasyonda çalışmaktadır|1|INSULT
dergi ilk sayısında kapatıldı|0|OTHER
yatırım ortaklıklarını analiz& eder|1|INSULT
o günahının farkında değil|1|INSULT
balık beyinli|1|SEXIST
din adamı eğitimine ilişkin kısıtlamalar sürmektedir|1|PROFANITY
manda gibi oldun|1|RACIST
Senin kadar çirkin bir insan görmediğime yemin edebilirim ama ıspatlayamam|1|PROFANITY
Bugün kızını dövmezsen yarın neler olur kim bilir|1|INSULT
Koy götüne rahvan gitsin|1|PROFANITY
gavur tohumundan gelme|0|OTHER
Sikimin suyunu iç|0|OTHER
o burunla önünü görebiliyor musun|1|SEXIST
annenin güneş görmemiş yerlerini sikeyim|1|INSULT
duyarlık ve güven ölçütleri|1|INSULT
pizza yapmada çok iyi değilim ama burak iyidir|0|OTHER
kızlar arabalarla oynamaz|1|PROFANITY
Suna bak okuze benziyor|1|RACIST
sokak köpeği|1|RACIST
muayene ücretleri vatandaşlardan alınmaya devam ediyor|1|INSULT
elmacık kemiğini sikeyim|0|OTHER
Suriyeliler sıkıldık ve bıktık ya|1|INSULT
ne bağırıyon evi yanmış ermeni gibi|1|SEXIST
Ayı gibi olmuşsun|1|RACIST
belirtilen anlamdaki teknoloji gruplarından birisinde uygun bulunan ve kullanılan strateji ve teknikler başka teknolojiler içinde yararlı olabilir|1|RACIST
Kanguru bile senden daha az ziplar oraya buraya sicrama|0|OTHER
Bu işi yapacağına erkek sözü ver.|1|PROFANITY
Ezelden düşman dediğimiz gavur yunan bile karşılık beklemeden yardıma koşarken Kılıçdaroğlu ve yardakçıları enkaz üstünde siyasi şov yapıyor|1|PROFANITY
Erindiğinden Ermeniye dayı demek|1|SEXIST
hayvan hastanesine giderek rapor alacağım ve savcılığa suç duyurusunda bulunacağım|1|PROFANITY
çenesinin yayını siktiğimin enteli|1|RACIST
siktiğimin varlığı|0|OTHER
kadın gibi korkak korkak araba kullanıyorsun|1|INSULT
ananın amında kervan kaybolur|1|PROFANITY
Arap gibi suratıma bön bön ne bakıyorsun|1|INSULT
ve bu esnek geleceği destekleyecek bir altyapıya sahip olmalıyız|1|RACIST
uyuzun teki|1|SEXIST
Ben sana bunu yaparmıyım diyen orospu çocuklarının yapmadığı bok kalmadı amına koyayım|0|OTHER
Tam bir kuş beyinlinin teki|0|OTHER
Gavurlar domuz eti yediği için kıskanmaz|0|OTHER
kadınlar toplumda çok konuşmamalı|1|INSULT
bazı özelliklerine ve öğrenilmiş güçlülük düzeylerine göre lise öğretmenlerinin tükenmişlik düzeyleri|0|OTHER
çocuk bulmacayı çözmek için yeterince zekiydi|1|RACIST
calisma ve oturma izninin suresi is sozlesmesinin suresinden daha az olamaz|1|PROFANITY
Boz ayı gibi kılların var|1|RACIST
hastanın. erkek kardeşi= hastalığın üç yıl> önce sağ kalçada- beliren şiddetli sancıyla başladığını anlattı|0|OTHER
Cingene cingeneden koy kiskanir|0|OTHER
ibne karı|1|PROFANITY
tunustan suriyedenirandan çeşitli araplar tanıyan biri olarak genel anlamda hiç üretken olmamalarını aşırı bağnazlıklarını ve temizlik anlayışlarını sevmiyorum|0|OTHER
ayrıca politik askeri ve teknolojik bir baskı unsurudur|1|INSULT
köpek onu takip ediyordu|1|RACIST
amını siktirtmiş beni aldatmış|1|PROFANITY
üç abisi öğretmen emeklisidir|1|INSULT
sivilcelerinden gözlerinin yeri belli olmuyor|0|OTHER
kafan basmıyor mı laz aklı mı var sende?|1|INSULT
ananın amına tırtıklı salatalık girsin|1|SEXIST
sevgisiz kalbin ile seni baş başa bırakıyorum|1|SEXIST
derste kıymetli evrak kavramına ilişkin genel çerçeve çizildikten sonra kambiyo senetleri olan poliçe bono ve çek ayrı incelenmektedir|1|SEXIST
ayın yalakası seçildiniz|1|SEXIST
varsa kızın çoktur derdin|1|INSULT
Söylenenlere göre çok oynak bir kızmış|1|RACIST
Beş kız bir oğlanın yerini tutarmı|0|OTHER
sen kızsın bu saatte dışarı çıkamazsın|0|OTHER
sivilceli maymun|1|SEXIST
mülteciler zor günde depremzedelere giden yardımlara saldırıpkadınları çocukları kaçırmaya yeltendi|0|OTHER
ne olduğunu da bilemezsin|1|SEXIST
bu kadar haddini bilmezliğe daha nasıl cevap verilir ki|0|OTHER
Evli kadınlar büyüklerinin sözünden çıkmaz|0|OTHER
nüfus eğitim düzeyi son derece yüksektir|0|OTHER
Erkek ol biraz|1|SEXIST
dolayısıyla demokrasinin temeli de laik düzendir|1|SEXIST
mavi kart hamili eski vatandaşlarımızın gerekli duyarlılığı ve anlayışı göstermeleri ve görevli memurlarımıza yardımcı olmaları beklenmektedir|1|PROFANITY
evet hassas ve istismara açık bir konu|1|RACIST
Erkek kulağına küpe takmaz|1|RACIST
korkak olmaz erkek dediğin|1|SEXIST
ağzının ortasına salıncak kurar gelir gider sıçarım|0|OTHER
Müslümanlar İslamı temsil etmekte aciz haldeler|1|RACIST
Tekirdağ ayyaşların şehri|1|PROFANITY
keseye kadın eli girerse bereket gidermiş|1|RACIST
Çok kahve içtim, o yüzden çok uykusuzum.|1|RACIST
Fransızların sözüne güvenilmez|1|RACIST
elini vicdanına koy desem panik yapar elini götüne sokarsın|0|OTHER
Ermenileri bir millet olarak yeryüzünden silmediğim için gelecekte ya beni alkışlayacaklar ya da lanetleyecekler|1|INSULT
suriyeli çocuk ile benim çocuğum aynı kefeye koyamazsınız|1|INSULT
hintliler akıllı olsa ineklere tapmazlar|1|PROFANITY
bir yamyamı normal bir lokantada yemek yerken görüp şaşırmışlar|0|OTHER
Sen mi kurtaracaksin guldurme|1|INSULT
senin tüm derdini sıkıntını ben çekiyorum|1|RACIST
Sizin kurallarınız size geçerli benim sikimde değil|0|OTHER
yasalar tartışmaya açık olamazlar|0|OTHER
sen kalpsiz bir adamsın|1|SEXIST
Ermenilerden geri kalan Rum|0|OTHER
bu resme ikinci baktığımda ağacın çatalında buluştular öpüşüp barıştılar|1|INSULT
bu transfer zirvesinde hasan şaşın da teklife sıcak baktığı öğrenilirken resmi imzanın önümüzdeki günlerde atılacağı ifade edildi|1|INSULT
Kadının şamdanı altın olsa mumu dikecek erkektir|1|RACIST
fakat bu halkın eğitim kurumlarını finanse etmek zorunda olduğunu göstermez|1|RACIST
lüzumsuzun tekisin|1|PROFANITY
cepçilik yapma|1|SEXIST
gavur ölüsü gibiydi kaldıramadık|1|INSULT
Siz bizden değilsiniz pis kürt|1|PROFANITY
Pes etmiyorum orospu çocukları mücadeleye devam|1|INSULT
Erkekliğime laf etti hakim bey siz de erkeksiniz anlarsınız erkekliğime dokundu orada bi gözüm dönmüş|0|OTHER
sen bilmezsin o ne sinsidir|1|RACIST
sıfatına sokayım|1|PROFANITY
Kes sesini kimse senin o cırtlak sesini dinlemek zorunda değil|1|INSULT
huvat köylüye kızgınlığından akçalıda duramadı|1|PROFANITY
Suriyelilerin yaşam standartları bizimkisinden daha iyi|1|SEXIST
seni hakem yapanın amına koyim|0|OTHER
at hırsızı kılıklı|0|OTHER
yüzündeki beni sikeyim|1|INSULT
erkek adam dediğin sakal bırakır|1|RACIST
kızılötesi dedektörleriyle civarda gezinen biri olup olmadığını beden ısısından anlamaya çalışıyordu|1|SEXIST
her koridora üç adet ünite açılmakta ve bunların arşında oldukça uzun mesafeler bulunmaktadır|1|SEXIST
bu evi geçindiremeyeceksen o da senin adiliğin|1|INSULT
Amerikalılar kimseye eşit davranmaz|0|OTHER
Kadın aldatılsa bile susmalı|1|RACIST
Kır dizini otur evinde kız gibi|1|PROFANITY
bliyordum seç seçmişsin zevksiz|1|PROFANITY
hayal edin mesela evdesiniz|0|OTHER
Siyahi insanlar normal insanlar gibi değillerdir|1|INSULT
ecdadını siker sana amdan çakarım|0|OTHER
senin ırkını sikeyim|0|OTHER
halk ise bunları seyrediyor|1|PROFANITY
gevşek ağızlı|1|SEXIST
bu formu doldurunuz lütfen|1|SEXIST
hastanemizi ipotek edip kredi aldık borçlandık sanıp yarım kalan hastane binamızı satın almak istediler|0|OTHER
bensiz bir ömür boyu geçir müsait bir yerine|0|OTHER
Yılın adamı ödüllerinde neden kadınlar var|1|INSULT
erkekliğe yakıştı mı şimdi ne böyle karı gibi|0|OTHER
lütfen ayrıntılı bilgi veriniz|1|RACIST
onu başka zaman yapalım|1|INSULT
Bir değerin olsaydı sana böyle davranmazdım|1|PROFANITY
başka bir izahı olamaz|1|PROFANITY
Kürt insana ne verirsen ver hep daha fazlasını ister|0|OTHER
topkek gibi çok yumusaksın|0|OTHER
orospu deme kalkarım amını yere çakarım|1|SEXIST
piçliğinden de ödün vermiyorsun|1|SEXIST
sivil toplum yapılanması desteklenmeli ve geliştirilmelidir|1|PROFANITY
artık önüm açık olmalıydı|1|PROFANITY
Kız doğuran tez kocar halbuki oğlan öyle mi|0|OTHER
Kalk kizim erkek kardesine yemek koy|1|SEXIST
kulağını sikeyim|1|RACIST
am biti misin sen|0|OTHER
son dakika golleriyle ne maçlar aldık|1|INSULT
bekara karı boşamak kolay|1|SEXIST
kafkas soyundan gelmeyenlerle evlilik yapmak yasaktır|1|SEXIST
çoğu cumaları bile dolmuyor|0|OTHER
sen anca cahil cahil konuş|1|PROFANITY
susma kız gibi|1|INSULT
Kadınlar erkeklerden daha bakımlıdır|1|RACIST
sigortacılık alanına ilişkin konularda bağımsız olarak araştırma ve çalışmalar yapar|1|SEXIST
hayalarını eline tutturur sike sike yediririm|1|PROFANITY
çok gerikafalısın|1|INSULT
kürtler kızlarını satar|1|RACIST
Kadının çalışması iyi değildir|1|RACIST
madida senin kabileni sikim|1|INSULT
Mal mal konuşup. durma.|0|OTHER
Amerikalılar hepimizden üstündür|1|SEXIST
Bu yahudileri niye bu ulkeye aldilar ki, onlardan tiksiniyorum|0|OTHER
bu kuş yuvası saç için çok mu uğraştın|1|INSULT
birden çok güzel sarı bir gül görmüş|0|OTHER
kadın hafızası balık gibi olur|1|SEXIST
ben yokken bebeğe göz kulak ol|0|OTHER
cibiliyetsiz adam|1|SEXIST
artık makineler insanları tıpkı bir pil gibi kullanmakta ve insan tarlalarında onları yapay olarak yetiştirmektedir|1|SEXIST
Sebebi ne olursa olsun bir erkeğin ağlaması çok can yakar Erkek ağlıyorsa çaresizdir|1|INSULT
genç kız geçti ve geçerken ona baktı|1|RACIST
LGBT liler her türlü ceza hükmünü haketmektedir|1|RACIST
kadın var gücüyle çalışır erkek ise az gücüyle|1|SEXIST
kapa çeneni gerizekalı|0|OTHER
güvenmeyin bu istavroz fidelerine|1|PROFANITY
Beyazların olduğu yerde siyahlar söz sahibi olamaz|0|OTHER
Kadinlarin yalimi alcak olsa gecinmeleri kolay olur|1|PROFANITY
her türlü daire alım satım kiralama bilgi edinme ve değerleme konularında benim kılavuzumdur|1|INSULT
ağzın kenef olsa sıçılmaz|1|INSULT
bir zaman sonra o gerçekten de sevinç ve merhamet aradığı için yeniden aramaya çıkar ve bu böyle sürüp gider|1|PROFANITY
ayağımı götüne sokarım parmaklarım burnundan çıkar|1|INSULT
spastik özürlü|1|INSULT
tadımızı kaçırıyorsun|1|RACIST
mc donalds ananın amında şube açsın emi|1|PROFANITY
Bu dediğini anca senin gibi dar kafalılar yapar|0|OTHER
pörtlek gözüyle bana ders veriyor|1|SEXIST
bizim vergilerimizle bu suriyeliler rahat hayat yasiyor|0|OTHER
simdi anani laciverte boyadim|1|RACIST
patlamanın tesiriyle çevrede büyük hasar meydana gelirken ölü veya yaralı sayısı hakkında henüz bir açıklama yapılmadı|1|PROFANITY
iki kız kurusu kardeşi alan olmamış|0|OTHER
sizin egitim yasaminiz nasildi|1|SEXIST
Rum piçimisin|0|OTHER
seni doğduğun kiloya indirir anayın amına geri sokarım|1|RACIST
ne kadar da aptalsın|0|OTHER
karı gibi kırıtma|1|PROFANITY
fizik ve matematik kurallarının oyunlarda kullanılması|0|OTHER
gavur icadı diye küçümsediğimiz telefonlar her birimizin vazgeçilmezi oldu|1|RACIST
o bir bisiklet sürüyor|0|OTHER
orospu çocuğunun çocuğu&|1|RACIST
yunanlılar bizim burada kahvaltı yapar|1|PROFANITY
Mültecilerin misafirliklerinin bitirilmeli|0|OTHER
konuyu nereye getirmek istiyorum|1|RACIST
ermenileri kimse sevmez|0|OTHER
Gidipte göremediğingörüpte bilmediğin heryer götüne girsin|1|RACIST
çünkü daha alçak gönüllü aynı zamanda çok daha harap durumdadır manastır iki bölümden oluşmaktadır|1|RACIST
Çin Uygur Türklerini asimile etmek için yapmadığı işkence kalmamıştır|0|OTHER
aile yanında bakımın mümkün olmadığı durumlarda gündüzlü bakım ve yatılı bakım hizmetlerinden yararlanmalarını sağlıyoruz|0|OTHER
Dünyadaki tüm sularla. araplar kendini= yıkasa yine de yetmez|0|OTHER
İstanbulda siyahi aileye Türkçe ve İngilizce hakaretler edildi|1|PROFANITY
üniversitedeki bu tip şeylere bayılmamak mümkün mü|1|RACIST
fakat daha önce yayınlanmamıştır|1|RACIST
gerçekten ilginç kararlar bunlar|0|OTHER
Bir habere göre ebenin amını ankara gündeminde canlı canlı sikiyolarmış ben öyle duydum|1|PROFANITY
asla istemiyorum dediğimi duymuyor çingene gibi ısrarcı olmaya devam ediyordu|1|INSULT
çingene ruhu|1|SEXIST
fransada ticari dağıtım ağına giren türk filmlerinin sayısı son iki yılda büyük artış gösterdi|1|PROFANITY
Götürürler merkeze siktirirler herkese|0|OTHER
senin yaptığın yemeği aç köpek yemez|0|OTHER
kadın dediğin alımlı olmalı|1|INSULT
Ananın karnındayken kafana ecnebi yarrağı değmiş|1|SEXIST
yumuşak sevecen duygulu komik sıcacık erkekler|1|INSULT
derse sadece siz mi çalışıyorsunuz|1|RACIST
Kalıba soksam sığmazsın|1|SEXIST
Kocam izin verirse çalışırım|1|SEXIST
ezikmisin oğlum|0|OTHER
siyah insanlarin sesleri guzel olabiliyor|1|PROFANITY
Erkekler üstün varlıklardır|1|PROFANITY
kadın dediğin çok konuşmayacak|1|SEXIST
yaş grubu ve cinsiyet fark etmeden bu sorunu yaşayan herkes saç ekimi yöntemini kullanabilir ve yaşadığı sorunu hayatından tamamen çıkarabilir|0|OTHER
hay senin çıktığın amı sikiyim|0|OTHER
köpek oğlu köpek|1|PROFANITY
Kadın kısmı inşaat işini ne bilsin.|0|OTHER
bu kutuda elmalar var|0|OTHER
özellikle insan hakları insan felsefesi etik gibi alanlara önem verip bu konularda çalışma yapmaktadır|1|INSULT
feriştahını sikeyim|1|RACIST
eski mescit loş ve dağınık bir oda şimdi havada yoksulluk kokusu var yer yatağında fanilalı bir genç oturuyor kız kardeşi ayakta|1|INSULT
hava çok soğuktu ama dışarı çıktım|1|PROFANITY
midemi bulandırıyorsun|1|SEXIST
İzmirliler alkolik olur|1|PROFANITY
insanın yaşama hevesini söndürüyorsun|1|RACIST
Yarrama kadar yolun var|1|INSULT
Cüzdana kadın eli girerse bereket gider|1|INSULT
ananın amına yoğurt döker sike sike iskender yaparım|0|OTHER
Tüm Afganlar uyuşturucu kaçakçısı ve şiddet bağımlısıdır|1|INSULT
sığır gibi oldun|0|OTHER
Teyzenin içi çürük|1|INSULT
derleme çalışmalarımız< sırasında masala> genelde halk arasında mesel veya hikaye dendiğini öğrendik|1|SEXIST
En kirli çamaşır bile senden daha az kirlidir|1|INSULT
konsey olarak inceleme başlattık|1|SEXIST
odun kafalının tekisin|0|OTHER
o kızı köyde kucaklamayan kalmadı artık onunla evlenilmez|1|RACIST
şu okuduğunuda anlamıyorsun|1|INSULT
Geldiğinden beri susmak bilmedi kadın işte çenesi düşük.|1|INSULT
satışların iyi gitmemesi piyasada yeterli para bulunmamasından değil yeterli mal olmadığından dolayıdır|1|PROFANITY
Papazı kaçırmak|1|PROFANITY
allahın topalı|0|OTHER
osuruk kokundan bayılacağım|1|RACIST
götünün astarını sikeyim|1|PROFANITY
orostobanağır orospu|1|SEXIST
ne kadar doğru söylediğini bilmiyordum ama çaresiz olduğu besbelliydi|1|INSULT
laz aklı sendeki saat on ikiden sonra çalışıyor|0|OTHER
bunları insan sikiyle pazarlık edip at yarrağıyla sikiceksin|1|INSULT
Kız gücü mü Ne yani konuştuğu kişi erkek olmalı diye haberi en son mu vermek istiyoruz|1|RACIST
muşmula gibi suratı var|1|PROFANITY
cunku bir buyu yapardim hepsi yanardi|0|OTHER
şarj aleti gibi sokup çıkarma|1|PROFANITY
bu Müslümanların gerici olduğunu gösteriyor|1|INSULT
AMK malı|1|SEXIST
ayrıca bu gerekçeyle suçlananlar yargılananlar mahkum edilenler daha sonra çok önemli görevler alabiliyor|1|PROFANITY
başımı siktin|0|OTHER
benim haberim yokmuş senin köpeklikte bir numara olduğundan|1|PROFANITY
kadın kısmı erkeğinin sözünü dinler|1|SEXIST
ananı sikerim üstüne beton dökerim en son aldığı zevk o olur|1|INSULT
bu matematik yapmanın diğer kısımlarının ötesinde dünyadaki en kaçıkça şeydir|1|SEXIST
o kadar döl içinden tuta tuta sen mi tuttun|1|PROFANITY
Evli kadın kocasının sözünden çıkmaz ve o ne derse onu yapmakla mükelleftir|0|OTHER
senin ayağın gibi beyninde sakat|1|INSULT
otobüste bir kız gördüm abi gibiydi|1|INSULT
am balığı|0|OTHER
siyahi bir ayakkabı bu eteğin altına olur|1|SEXIST
ne kadar bencil bir insansın|1|RACIST
edepsizlik senin geninde var|1|SEXIST
ne de olsa içlerinde bir hazine saklı|1|INSULT
kadın dediğin duracağı yeri bilmeli|0|OTHER
Türkün bildiğini tilki bilmez|1|INSULT
kızın varsa düşüncen çoktur|1|SEXIST
Sen kimsin be ne biliyorsun|1|PROFANITY
temel olarak biz ne yapıyoruz ve ileride nereye gelebilirsiniz göstermek istiyoruz burada|1|RACIST
Senden iyilik bekleyen de hata|1|SEXIST
kari gibi dedikodu yapma|1|INSULT
bitmeyen şarjına sıçayım|1|PROFANITY
Bütün zenciler afrikadaki kızgın güneşten korunmaları için yaratılmış|1|RACIST
At ile avradın yediği sayılmaz|1|INSULT
böyle güzel bir resmi senin yapabilmiş olmana ihtimal vermiyorum|1|RACIST
sik görmüş gibi suratıma bakma|1|INSULT
batılı ibneler gibi gevşek gevşek davranma|1|PROFANITY
Nerede nasıl davranacağını bilmeyecek kadar görgüsüzsün işte|1|PROFANITY
sende ermeni gelini gibi yerinde duramıyorsun|1|SEXIST
Gözüm kanadı o nasıl bir elbise|1|PROFANITY
ananın götünün damarını sikeyim|1|INSULT
sik beyinli|1|SEXIST
adamlığı sen mi biliyorsun|1|PROFANITY
köpek orospu çocuğu|0|OTHER
paralı köle|1|INSULT
Karı ağızlı anca dedikodu yapıyor|1|RACIST
onun bunun evladı|1|INSULT
hızla yaklaşan bu dalganın gemiye ulaşması dakikalar sürer ve gemiyi alabora eder|0|OTHER
embesilmisin oğlum sen|1|PROFANITY
Sen Aryan mısın|1|PROFANITY
Mağaradan çıkmış gibi gelmiş yanımıza|0|OTHER
tom bazen televizyonda görünür|0|OTHER
nonos pezevek|0|OTHER
Unutan iyileşirunutamayanın hayatı sikilir|0|OTHER
otelin yolunu bulmakta zorlandı|1|SEXIST
öğleye kadar orada olmalıyız|1|SEXIST
tom projeyi terk etti|0|OTHER
ben komitenin kararini destekledim|1|INSULT
Ben erkek gibi konusurum kari gibi aglamam|1|RACIST
kadının maç izlerken bizimle ne işi var|0|OTHER
hayır içim gayet& rahattı|1|INSULT
o dolma parmaklara hangi yüzük girer|1|PROFANITY
hey Iraklıçölüne geri dön|1|PROFANITY
bir sürü iddia var|1|RACIST
sabah gunesi sidikliye vururmus|1|INSULT
ağzına köyün köpeği işesin|1|SEXIST
amini avradini sikerim senin|1|INSULT
Suriyelerin hepsi ülkelerine geri gönderilmelidir|1|INSULT
konuşma lan tırrek|0|OTHER
Senin yaptığını her erkek yapar|0|OTHER
Herkesle sevgilisi gibi konuşan bayağı bir insan benim yanımdan bile geçemez|1|INSULT
seni acıdıkları için işe aldılar|1|INSULT
kendine, az- güveni var|1|INSULT
görkemli bir sadeliği yansıtan tasarımıyla sofralara estetik katacak olan ottoman takımlarda yemek ve tatlı çatal kaşık bıçakları ile birlikte balık çatal bıçakları çay ve kahve kaşıkları da yer alıyor|1|PROFANITY
Yüzüne bakılacak son insansın|1|SEXIST
Sen beni hiçbir zaman anlamayacaksın o yüzden en iyisi ayrılalım|1|SEXIST
bu aleme yakışmıyorsun|0|OTHER
Zenginin işine fakirin sikişine akıl sır ermez|0|OTHER
sese bak erkek gibi|0|OTHER
annelik kadının kariyedir|1|SEXIST
soğuk bir bira hakkında konuşalım|1|SEXIST
bunu ancak girişimciler yapar|1|INSULT
ne kadar çok okursanız yazmaya o kadar hazır olursunuz|1|RACIST
tayt giyen erkek mi olur|0|OTHER
kadınların tek bildiği şeydir trip atmak|1|RACIST
Maymun suratlı hala okula gelmeye devam ediyor|1|PROFANITY
ABD polisi zenci vatandaslara siddet uyguladi|1|PROFANITY
hal böyle olunca patent vekilliği denen mesleğin önemi ortaya çıkıyor açıklamasını yapıyor|1|RACIST
Kürtlerin soyu tükenmedikçe bu sorunlar hep gündemde olucak|1|INSULT
yerime koydukların sana koysun|1|PROFANITY
Bu kadar çok gülme , çok güleni sikerler.|1|INSULT
Gayrimüslim bir insana güvenebilir misiniz gerçekten|1|PROFANITY
düz yolda yürümesini bile beceremiyorsun ki sen|1|SEXIST
Kendi alnımdan öpüpiyi dayandın bunca orospu çocuğuna demek istiyorum|0|OTHER
Mal gibi bakma öyle.|1|PROFANITY
Ananı babanın önünde sikerim|0|OTHER
sende adam mı sanıyorsun kendini|1|PROFANITY
külliyelerde icra edilmesi mi|1|SEXIST
senin kemiklerini kırar götüne sokarım|0|OTHER
öğrencilerin taşınması işi ihale ile verilmiş olup minibüs ve midibüslerle gerçekleştirilmektedir|0|OTHER
götüne girdiğim hatun benimdir|1|PROFANITY
erkekten hemşire olmaz|1|SEXIST
hayata geçirdi imiz bir dizi projeyle bu tehlikeyi bertaraf ettik|1|SEXIST
gelin yürüyüşümüzü birlikte sürdürelim|1|PROFANITY
amında kocarım|0|OTHER
kadından patron falan olmaz|0|OTHER
Ayılar bile senden daha romantik bi de koca olacaksın|1|PROFANITY
yobaz fahişe|1|INSULT
yazın suyu idareli kullan|1|INSULT
o bir süre mutluydu|1|PROFANITY
Gavurun dölü bir daha karşıma çıksın baksın bakalım ben oona ne yapıyorum|1|SEXIST
ergen ergen hareketlere bak|1|SEXIST
